Team,WinLoss,TotalAttendance
76ers,0.22,610121.00
Bucks,0.50,621808.00
Bulls,0.61,894659.00
Cavaliers,0.65,843042.00
Celtics,0.49,749076.00
Clippers,0.68,786910.00
Grizzlies,0.67,684603.00
Hawks,0.73,690150.00
Heat,0.45,809350.00
Hornets,0.40,716894.00
Jazz,0.46,791489.00
Kings,0.35,707526.00
Knicks,0.21,778877.00
Lakers,0.26,719275.00
Magic,0.31,825901.00
Mavericks,0.61,620142.00
Nets,0.46,577898.00
Nuggets,0.37,812292.00
Pacers,0.46,690733.00
Pelicans,0.55,688549.00
Pistons,0.39,677138.00
Raptors,0.60,812863.00
Rockets,0.68,737244.00
Spurs,0.67,756445.00
Suns,0.48,701405.00
Thunder,0.55,746323.00
Timberwolves,0.20,581178.00
Trail Blazers,0.62,794085.00
Warriors,0.82,803436.00
Wizards,0.56,725426.00
